wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d,align=0.8_filtered,MTL0.2,1,"[1, 0, 1, 1]",50,0.2,0.995,0.9770563,0.995,0.9475,0.92675,0.9375,0.94,1.0,0.915,0.9175,1.0,0.9025,0.9025,1.0
wv_3d,align=0.83,MTL0.8,1,"[0, 1, 1, 1]",50,0.8,0.995,0.9673333,0.9975,0.9525,0.92725,0.8325,0.835,1.0,0.845,0.845,1.0,0.845,0.845,1.0
wv_3d,align=0.8_filtered,MTL0.5,1,"[1, 0, 1, 1]",50,0.5,0.995,0.97640693,0.9975,0.93975,0.914,0.91,0.91,1.0,0.905,0.905,1.0,0.88,0.88,1.0
wv_3d,align=0.8_filtered,MTL0.8,1,"[1, 0, 1, 1]",50,0.8,0.995,0.974026,0.995,0.93725,0.91125,0.925,0.9275,1.0,0.895,0.8975,1.0,0.8925,0.8925,1.0
wv_3d,align=0.8_filtered,TN,1,"[1, 0, 1, 1]",50,0.0,0.79,0.9735931,0.995,0.9395,0.9205,0.9025,0.9025,1.0,0.8875,0.8875,1.0,0.865,0.865,1.0
wv_3d,align=0.8,MTL0.2,1,"[1, 0, 1, 1]",50,0.2,0.995,0.96966666,0.98,0.946,0.92975,0.755,0.76,1.0,0.7325,0.74,1.0,0.755,0.7625,1.0
wv_3d,align=0.8,MTL0.5,1,"[1, 0, 1, 1]",50,0.5,0.9975,0.96933335,0.9925,0.95525,0.93675,0.855,0.8575,1.0,0.815,0.82,1.0,0.78,0.785,1.0
wv_3d,align=0.8,TN,1,"[1, 0, 1, 1]",50,0.0,0.5075,0.9738333,0.805,0.9549999999999998,0.93675,0.76,0.7775,1.0,0.7725,0.8025,1.0,0.7775,0.805,1.0
wv_3d,align=0.8,MTL0.8,1,"[1, 0, 1, 1]",50,0.8,0.995,0.9723333,0.9925,0.95025,0.931,0.7975,0.7975,1.0,0.7925,0.7975,1.0,0.78,0.785,1.0
wv_3d,align=0.925_filtered,MTL0.2,1,"[256, 1, 256, 256]",50,0.2,0.995,0.9747027,0.995,0.898,0.8637499999999999,0.945,0.945,1.0,0.9475,0.95,1.0,0.96,0.9625,1.0
