name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.2,0,"[256, 1, 256, 256]",True,512,0.2,align=0.925_filtered,wv_3d_square_aligns,0.9424999952316284,0.9950000047683716,0.87125,0.98,0.9833513498306274,0.9950000047683716,0.9975,0.9399999976158142,0.925
MTL0.5,0,"[0, 1, 1, 1]",True,512,0.5,align=0.83_filtered,wv_3d_square_aligns,0.9424999952316284,1.0,0.9020833333333332,0.9566666666666668,0.9725322127342224,1.0,1.0,0.9424999952316284,0.83
MTL0.8,0,"[1, 0, 1, 1]",True,512,0.8,align=0.8_filtered,wv_3d_square_aligns,0.9474999904632568,0.9950000047683716,0.8879166666666668,0.95375,0.9772727489471436,0.9950000047683716,0.995,0.9474999904632568,0.8
MTL0.5,0,"[1, 0, 1, 1]",True,512,0.5,align=0.8_filtered,wv_3d_square_aligns,0.9225000143051147,0.9975000023841858,0.8849999999999999,0.9708333333333332,0.9712121486663818,0.9975000023841858,0.995,0.9225000143051147,0.8
TN,0,"[1, 0, 1, 1]",True,512,0.0,align=0.8_filtered,wv_3d_square_aligns,0.9200000166893004,0.4600000083446502,0.75,0.9804166666666668,0.977056324481964,0.4600000083446502,0.9975,0.45750001072883606,0.8
TN,0,"[0, 1, 1, 1]",True,512,0.0,align=0.83_filtered,wv_3d_square_aligns,0.8999999761581421,0.4600000083446502,0.695,0.9729166666666668,0.9718884229660034,0.4600000083446502,1.0,0.4399999976158142,0.83
MTL0.2,0,"[1, 0, 1, 1]",True,512,0.2,align=0.8_filtered,wv_3d_square_aligns,0.915000021457672,0.9975000023841858,0.9091666666666668,0.9708333333333332,0.973160207271576,0.9975000023841858,0.995,0.9175000190734864,0.8
MTL0.8,0,"[0, 1, 1, 1]",True,512,0.8,align=0.83_filtered,wv_3d_square_aligns,0.9225000143051147,1.0,0.8941666666666667,0.9495833333333332,0.9729613661766052,1.0,0.9975,0.9225000143051147,0.83
MTL0.2,0,"[0, 1, 1, 1]",True,512,0.2,align=0.83_filtered,wv_3d_square_aligns,0.9300000071525574,0.9975000023841858,0.90125,0.9508333333333332,0.971030056476593,0.9975000023841858,0.9975,0.9300000071525574,0.83
MTL0.5,0,"[0, 0, 1, 1]",True,512,0.5,align=0.5_filtered,wv_3d_square_aligns,0.7599999904632568,0.9975000023841858,0.9054166666666666,0.9129166666666664,0.9699094891548156,0.9975000023841858,0.9975,0.7599999904632568,0.5
TN,0,"[0, 0, 1, 1]",True,512,0.0,align=0.5_filtered,wv_3d_square_aligns,0.7049999833106995,0.2775000035762787,0.8395833333333332,0.94375,0.9690045118331908,0.2775000035762787,0.995,0.22750000655651093,0.5
MTL0.8,0,"[0, 0, 1, 1]",True,512,0.8,align=0.5_filtered,wv_3d_square_aligns,0.7425000071525574,0.9975000023841858,0.9083333333333332,0.9125,0.9651584029197692,0.9975000023841858,0.995,0.7425000071525574,0.5
MTL0.2,2,"[0, 0, 1, 1]",True,512,0.2,align=0.5_filtered,wv_3d_square_aligns,0.699999988079071,0.9975000023841858,0.9033333333333332,0.9279166666666666,0.9694570302963256,0.9975000023841858,0.9975,0.699999988079071,0.5
MTL0.2,1,"[0, 0, 1, 1]",True,512,0.2,align=0.5_filtered,wv_3d_square_aligns,0.7325000166893005,0.9975000023841858,0.9245833333333334,0.93,0.9703620076179504,0.9975000023841858,0.995,0.7325000166893005,0.5
MTL0.2,0,"[0, 0, 1, 1]",True,512,0.2,align=0.5_filtered,wv_3d_square_aligns,0.7124999761581421,0.9950000047683716,0.9170833333333333,0.9325,0.9717194437980652,0.9950000047683716,0.9975,0.7124999761581421,0.5
