,name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
134,MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.7,wv_3d_square_noisy,0.7524999976158142,0.7325000166893005,0.36000000000000004,0.4854166666666666,0.5005000233650208,0.9975000023841858,0.995,0.7549999952316284,0.925,0.7
135,MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.6,wv_3d_square_noisy,0.7574999928474426,0.7250000238418579,0.3279166666666667,0.48499999999999993,0.500333309173584,0.9900000095367432,0.9975,0.7524999976158142,0.925,0.6
136,MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.6,wv_3d_square_noisy,0.6949999928474426,0.6675000190734863,0.32,0.49625,0.4953333139419556,0.9950000047683716,0.995,0.6949999928474426,0.925,0.6
137,MTL0.2,2,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.4,wv_3d_square_noisy,0.7549999952316284,0.9950000047683716,0.6008333333333334,0.9475,0.574833333492279,0.9950000047683716,0.9925,0.7549999952316284,0.925,0.4
138,MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.5,wv_3d_square_noisy,0.824999988079071,0.9524999856948853,0.48166666666666663,0.6883333333333334,0.503166675567627,0.9975000023841858,1.0,0.8274999856948853,0.925,0.5
139,MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.5,wv_3d_square_noisy,0.8324999809265137,0.959999978542328,0.5054166666666667,0.6587500000000001,0.4903333187103271,0.9925000071525574,0.9975,0.8349999785423279,0.925,0.5
140,MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.5,wv_3d_square_noisy,0.8149999976158142,0.9325000047683716,0.5008333333333334,0.5795833333333332,0.4950000047683716,0.9975000023841858,0.9975,0.8149999976158142,0.925,0.5
141,MTL0.2,2,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.3,wv_3d_square_noisy,0.8700000047683716,0.9975000023841858,0.7204166666666666,0.9658333333333332,0.6738333106040955,0.9975000023841858,0.9975,0.8700000047683716,0.925,0.3
142,TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.5,wv_3d_square_noisy,0.875,0.6000000238418579,0.32,0.9216666666666664,0.5018333196640015,0.4600000083446502,0.9775,0.8050000071525574,0.925,0.5
143,MTL0.8,2,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.3,wv_3d_square_noisy,0.8600000143051147,0.9975000023841858,0.7483333333333334,0.9720833333333334,0.6535000205039978,0.9975000023841858,0.9975,0.8600000143051147,0.925,0.3
144,MTL0.5,2,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.3,wv_3d_square_noisy,0.8774999976158142,0.9975000023841858,0.7441666666666666,0.9608333333333332,0.6711666584014893,0.9975000023841858,0.9975,0.8774999976158142,0.925,0.3
145,TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.6,wv_3d_square_noisy,0.7024999856948853,0.6274999976158142,0.23875,0.66,0.4988333284854889,0.4600000083446502,0.97,0.6349999904632568,0.925,0.6
146,TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.4,wv_3d_square_noisy,0.7925000190734863,0.4650000035762787,0.5454166666666667,0.9841666666666664,0.5868332982063293,0.4650000035762787,0.9925,0.6650000214576721,0.925,0.4
147,MTL0.8,2,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.2,wv_3d_square_noisy,0.8600000143051147,0.9950000047683716,0.8054166666666668,0.9741666666666666,0.753333330154419,0.9950000047683716,0.995,0.8600000143051147,0.925,0.2
148,TN,2,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.3,wv_3d_square_noisy,0.8224999904632568,0.4600000083446502,0.5875,0.9704166666666666,0.6641666889190674,0.4600000083446502,0.9725,0.7174999713897705,0.925,0.3
149,MTL0.5,2,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.2,wv_3d_square_noisy,0.9024999737739564,0.9950000047683716,0.7983333333333333,0.9695833333333334,0.7508333325386047,0.9950000047683716,0.995,0.9024999737739564,0.925,0.2
150,MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.4,wv_3d_square_noisy,0.8650000095367432,0.9975000023841858,0.6708333333333334,0.8758333333333334,0.5738333463668823,0.9975000023841858,0.995,0.8650000095367432,0.925,0.4
151,MTL0.8,2,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.1,wv_3d_square_noisy,0.8525000214576721,0.9950000047683716,0.8529166666666667,0.9783333333333334,0.85916668176651,0.9950000047683716,0.995,0.8525000214576721,0.925,0.1
152,MTL0.2,2,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.2,wv_3d_square_noisy,0.8349999785423279,0.9950000047683716,0.8033333333333333,0.9816666666666666,0.7581666707992554,0.9950000047683716,0.995,0.8349999785423279,0.925,0.2
153,TN,2,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.2,wv_3d_square_noisy,0.8650000095367432,0.4600000083446502,0.6691666666666666,0.9825,0.7648333311080933,0.4600000083446502,0.9575,0.7250000238418579,0.925,0.2
154,MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.6,wv_3d_square_noisy,0.7574999928474426,0.7325000166893005,0.365,0.4475,0.4931666553020478,0.9975000023841858,0.9975,0.7574999928474426,0.925,0.6
155,TN,2,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.1,wv_3d_square_noisy,0.824999988079071,0.4600000083446502,0.7595833333333334,0.9766666666666668,0.8544999957084656,0.4600000083446502,0.9425,0.6324999928474426,0.925,0.1
156,MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.4,wv_3d_square_noisy,0.8849999904632568,0.9950000047683716,0.6575000000000001,0.9008333333333334,0.5770000219345093,0.9950000047683716,0.9975,0.887499988079071,0.925,0.4
157,MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.6,wv_3d_square_noisy,0.862500011920929,0.8450000286102295,0.4675,0.455,0.49566665291786194,0.9975000023841858,0.995,0.8650000095367432,0.925,0.6
