,name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
69,MTL0.8,1,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.3,wv_3d_square_noisy,0.9424999952316284,1.0,0.7225000000000001,0.8683333333333333,0.7677943706512451,1.0,1.0,0.9424999952316284,0.925,0.3
71,TN,1,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.3,wv_3d_square_noisy,0.9275000095367432,0.5,0.4291666666666667,0.9579166666666667,0.7425307631492615,0.5,0.995,0.45750001072883606,0.925,0.3
74,MTL0.8,2,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.1,wv_3d_square_noisy,0.962499976158142,0.9975000023841858,0.815,0.84,0.890577495098114,0.9975000023841858,0.9975,0.962499976158142,0.925,0.1
75,MTL0.2,2,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.1,wv_3d_square_noisy,0.977500021457672,0.9975000023841858,0.8158333333333333,0.8883333333333333,0.8858010768890381,0.9975000023841858,0.9975,0.977500021457672,0.925,0.1
76,TN,2,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.1,wv_3d_square_noisy,0.949999988079071,0.4474999904632568,0.4875,0.9470833333333334,0.8768996596336365,0.4474999904632568,0.995,0.4275000095367432,0.925,0.1
77,MTL0.5,2,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.1,wv_3d_square_noisy,0.9925000071525574,0.9975000023841858,0.8204166666666667,0.8691666666666666,0.8886235356330872,0.9975000023841858,0.9975,0.9925000071525574,0.925,0.1
79,MTL0.8,1,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.2,wv_3d_square_noisy,0.9524999856948853,0.9950000047683716,0.7704166666666667,0.8616666666666667,0.8237362504005432,0.9950000047683716,0.995,0.949999988079071,0.925,0.2
80,MTL0.5,1,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.2,wv_3d_square_noisy,0.975000023841858,0.9950000047683716,0.8066666666666666,0.8908333333333333,0.8272527456283569,0.9950000047683716,0.9975,0.975000023841858,0.925,0.2
82,TN,1,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.2,wv_3d_square_noisy,0.949999988079071,0.4424999952316284,0.5141666666666667,0.9675,0.8235164880752563,0.4424999952316284,0.995,0.4300000071525574,0.925,0.2
83,MTL0.5,0,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.4,wv_3d_square_noisy,0.9300000071525574,0.9925000071525574,0.5908333333333333,0.7225,0.6991797685623169,0.9950000047683716,0.995,0.9300000071525574,0.925,0.4
84,MTL0.8,0,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.4,wv_3d_square_noisy,0.9574999809265136,0.9975000023841858,0.5866666666666666,0.6045833333333334,0.689869225025177,0.9975000023841858,0.9975,0.9574999809265136,0.925,0.4
85,MTL0.2,1,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.2,wv_3d_square_noisy,0.975000023841858,0.9975000023841858,0.7766666666666667,0.9070833333333334,0.8239560723304749,0.9975000023841858,0.9975,0.975000023841858,0.925,0.2
