,name,model,seed,weights,filtered,embed_dim,lamda,align,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc
57,TN,TN,2,"[1, 0, 0, 0]",True,512,0.0,0.67,wv_3d_linear,0.6633166074752808,0.9773869514465332,0.8450586264656618,0.9736180904522612,0.9799066185951232,0.7537688612937927,0.9773869346733668,0.6633166074752808
58,MTL0.2,MTL,1,"[1, 2048, 0, 0]",True,512,0.2,0.96,wv_3d_linear,0.839195966720581,0.9723618030548096,0.8601340033500838,0.9560301507537688,0.9851776361465454,0.9723618030548096,0.9824120603015076,0.8417085409164429
59,MTL0.5,MTL,1,"[2048, 1, 0, 0]",True,512,0.5,0.95,wv_3d_linear,0.8793969750404358,0.9748743772506714,0.8316582914572864,0.9057788944723616,0.979854941368103,0.9748743772506714,0.9798994974874372,0.876884400844574
60,MTL0.8,MTL,1,"[2048, 1, 0, 0]",True,512,0.8,0.95,wv_3d_linear,0.8844221234321594,0.9874371886253356,0.8132328308207706,0.9300670016750416,0.9742143154144288,0.9874371886253356,0.9824120603015076,0.8819095492362976
61,MTL0.2,MTL,1,"[0, 1, 0, 0]",True,512,0.2,0.62,wv_3d_linear,0.7738693356513977,0.9874371886253356,0.8530150753768845,0.9363484087102176,0.9796411395072936,0.9874371886253356,0.9899497487437184,0.7688442468643188
62,MTL0.8,MTL,1,"[0, 1, 0, 0]",True,512,0.8,0.62,wv_3d_linear,0.7788944840431213,0.9899497628211976,0.8299832495812396,0.91750418760469,0.9818584322929382,0.9899497628211976,0.9949748743718592,0.7738693356513977
63,MTL0.5,MTL,1,"[0, 1, 0, 0]",True,512,0.5,0.62,wv_3d_linear,0.8291457295417786,0.9773869514465332,0.8601340033500837,0.8969849246231156,0.9806490540504456,0.9773869514465332,0.984924623115578,0.8341708779335022
64,TN,TN,1,"[2048, 1, 0, 0]",True,512,0.0,0.95,wv_3d_linear,0.7613065242767334,0.982412040233612,0.8505025125628141,0.9690117252931324,0.9742143154144288,0.5025125741958618,0.9824120603015076,0.7613065242767334
65,TN,TN,1,"[0, 1, 0, 0]",True,512,0.0,0.62,wv_3d_linear,0.6708542704582214,0.982412040233612,0.8860971524288107,0.9752931323283082,0.982261598110199,0.7361809015274048,0.9824120603015076,0.6708542704582214
66,MTL0.2,MTL,1,"[2048, 1, 0, 0]",True,512,0.2,0.95,wv_3d_linear,0.8190954923629761,0.9597989916801452,0.8358458961474037,0.9413735343383584,0.9760273694992064,0.9597989916801452,0.9773869346733668,0.8216080665588379
67,MTL0.2,MTL,1,"[1, 0, 0, 0]",True,512,0.2,0.67,wv_3d_linear,0.7889447212219238,0.984924614429474,0.8245393634840871,0.9396984924623116,0.9772680997848512,0.984924614429474,0.984924623115578,0.786432147026062
68,MTL0.8,MTL,1,"[1, 0, 0, 0]",True,512,0.8,0.67,wv_3d_linear,0.8517587780952454,0.9899497628211976,0.8161641541038526,0.9141541038525964,0.9746295809745787,0.9899497628211976,0.992462311557789,0.8517587780952454
69,MTL0.5,MTL,1,"[1, 0, 0, 0]",True,512,0.5,0.67,wv_3d_linear,0.8216080665588379,0.9748743772506714,0.8375209380234505,0.923785594639866,0.9762532711029052,0.9748743772506714,0.9874371859296482,0.8216080665588379
70,TN,TN,1,"[1, 0, 0, 0]",True,512,0.0,0.67,wv_3d_linear,0.6809045076370239,0.9874371886253356,0.8521775544388609,0.9769681742043552,0.9807184934616088,0.34924623370170593,0.9874371859296482,0.6809045076370239
71,MTL0.8,MTL,0,"[2048, 1, 0, 0]",True,512,0.8,0.95,wv_3d_linear,0.876884400844574,0.982412040233612,0.8257956448911222,0.8978224455611391,0.971998393535614,0.982412040233612,0.984924623115578,0.876884400844574
72,TN,TN,0,"[2048, 1, 0, 0]",True,512,0.0,0.95,wv_3d_linear,0.80402010679245,0.9748743772506714,0.8463149078726967,0.9736180904522612,0.98146653175354,0.5025125741958618,0.9748743718592964,0.80402010679245
73,MTL0.5,MTL,0,"[2048, 1, 0, 0]",True,512,0.5,0.95,wv_3d_linear,0.9020100235939026,0.9723618030548096,0.8132328308207706,0.914572864321608,0.9701853394508362,0.9723618030548096,0.9874371859296482,0.8969849348068237
74,MTL0.2,MTL,0,"[1, 2048, 0, 0]",True,512,0.2,0.96,wv_3d_linear,0.8819095492362976,0.982412040233612,0.8651591289782244,0.9325795644891124,0.9721827507019044,0.982412040233612,0.9899497487437184,0.8819095492362976
75,MTL0.8,MTL,0,"[0, 1, 0, 0]",True,512,0.8,0.62,wv_3d_linear,0.8115577697753906,0.984924614429474,0.8446398659966499,0.914572864321608,0.976012885570526,0.984924614429474,0.9899497487437184,0.8090452551841736
76,MTL0.2,MTL,0,"[0, 1, 0, 0]",True,512,0.2,0.62,wv_3d_linear,0.7939698696136475,0.9773869514465332,0.8630653266331659,0.9367671691792294,0.9792380332946776,0.9773869514465332,0.992462311557789,0.7914572954177856
77,TN,TN,0,"[0, 1, 0, 0]",True,512,0.0,0.62,wv_3d_linear,0.6532663106918335,0.9698492288589478,0.8953098827470686,0.9698492462311558,0.9842773079872132,0.19597989320755005,0.9698492462311558,0.6532663106918335
78,MTL0.5,MTL,0,"[0, 1, 0, 0]",True,512,0.5,0.62,wv_3d_linear,0.7763819098472595,0.9648241400718688,0.8576214405360134,0.916247906197655,0.9826647639274596,0.9648241400718688,0.9748743718592964,0.7738693356513977
79,MTL0.2,MTL,0,"[1, 0, 0, 0]",True,512,0.2,0.67,wv_3d_linear,0.8140703439712524,0.9899497628211976,0.8291457286432161,0.946817420435511,0.9782829284667968,0.9899497628211976,0.9874371859296482,0.8140703439712524
80,TN,TN,0,"[1, 0, 0, 0]",True,512,0.0,0.67,wv_3d_linear,0.6306532621383667,0.9698492288589478,0.84463986599665,0.9773869346733668,0.9740206599235536,0.3768844306468963,0.9698492462311558,0.6306532621383667
81,MTL0.8,MTL,0,"[1, 0, 0, 0]",True,512,0.8,0.67,wv_3d_linear,0.876884400844574,0.984924614429474,0.8224455611390286,0.8940536013400334,0.9754413962364196,0.984924614429474,0.984924623115578,0.876884400844574
82,MTL0.2,MTL,0,"[2048, 1, 0, 0]",True,512,0.2,0.95,wv_3d_linear,0.8643215894699097,0.982412040233612,0.8329145728643216,0.9317420435510888,0.9810636639595032,0.982412040233612,0.9874371859296482,0.8668341636657715
83,MTL0.5,MTL,0,"[1, 0, 0, 0]",True,512,0.5,0.67,wv_3d_linear,0.8366833925247192,0.9899497628211976,0.8253768844221105,0.930067001675042,0.9756444096565248,0.9899497628211976,0.992462311557789,0.8366833925247192
