,name,model,seed,weights,filtered,embed_dim,lamda,align,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc
67,MTL0.8,MTL,1,"[1, 0, 0, 0]",False,512,0.8,0.67,wv_3d_linear_unfiltered,0.7964823842048645,0.9949748516082764,0.8408710217755444,0.9409547738693468,0.9618332982063292,0.9949748516082764,0.9949748743718592,0.7964823842048645
68,MTL0.8,MTL,1,"[0, 1, 0, 0]",False,512,0.8,0.62,wv_3d_linear_unfiltered,0.7160804271697998,0.9899497628211976,0.8576214405360134,0.9610552763819096,0.965833306312561,0.9899497628211976,0.992462311557789,0.7185929417610168
69,MTL0.2,MTL,1,"[1, 0, 0, 0]",False,512,0.2,0.67,wv_3d_linear_unfiltered,0.7236180901527405,0.9974874258041382,0.8433835845896147,0.9744556113902848,0.9746666550636292,0.9974874258041382,0.992462311557789,0.7236180901527405
70,TN,TN,1,"[1, 0, 0, 0]",False,512,0.0,0.67,wv_3d_linear_unfiltered,0.6005024909973145,0.856783926486969,0.861390284757119,0.9790619765494138,0.9786666631698608,0.5025125741958618,0.8567839195979899,0.6005024909973145
71,TN,TN,1,"[0, 1, 0, 0]",False,512,0.0,0.62,wv_3d_linear_unfiltered,0.5628140568733215,0.8944723606109619,0.9120603015075378,0.9828308207705192,0.9810000061988832,0.6984924674034119,0.8944723618090452,0.5628140568733215
72,MTL0.2,MTL,0,"[0, 1, 0, 0]",False,512,0.2,0.62,wv_3d_linear_unfiltered,0.7160804271697998,0.9773869514465332,0.9011725293132328,0.9656616415410384,0.9739999771118164,0.9773869514465332,0.9949748743718592,0.7085427045822144
73,MTL0.5,MTL,0,"[2048, 1, 0, 0]",False,512,0.5,0.95,wv_3d_linear_unfiltered,0.8417085409164429,0.9899497628211976,0.8383584589614741,0.966499162479062,0.971833348274231,0.9899497628211976,0.9874371859296482,0.8417085409164429
74,MTL0.8,MTL,0,"[2048, 1, 0, 0]",False,512,0.8,0.95,wv_3d_linear_unfiltered,0.8542713522911072,0.9899497628211976,0.8371021775544388,0.9597989949748744,0.9678333401679992,0.9899497628211976,0.992462311557789,0.8542713522911072
75,MTL0.2,MTL,0,"[2048, 1, 0, 0]",False,512,0.2,0.95,wv_3d_linear_unfiltered,0.8090452551841736,0.9874371886253356,0.8563651591289781,0.9681742043551088,0.9748333096504213,0.9874371886253356,0.992462311557789,0.8115577697753906
76,TN,TN,0,"[2048, 1, 0, 0]",False,512,0.0,0.95,wv_3d_linear_unfiltered,0.8015075325965881,0.8693467378616333,0.8626465661641541,0.9773869346733668,0.984499990940094,0.311557799577713,0.8693467336683417,0.8015075325965881
77,MTL0.8,MTL,0,"[1, 0, 0, 0]",False,512,0.8,0.67,wv_3d_linear_unfiltered,0.7236180901527405,0.9949748516082764,0.8287269681742043,0.946817420435511,0.965833306312561,0.9949748516082764,0.992462311557789,0.7261306643486023
78,TN,TN,0,"[0, 1, 0, 0]",False,512,0.0,0.62,wv_3d_linear_unfiltered,0.6206030249595642,0.8844221234321594,0.8886097152428811,0.9815745393634842,0.9816666841506958,0.6356784105300903,0.8844221105527639,0.6206030249595642
79,MTL0.5,MTL,0,"[0, 1, 0, 0]",False,512,0.5,0.62,wv_3d_linear_unfiltered,0.6834170818328857,0.9874371886253356,0.8731155778894472,0.9568676716917924,0.9695000052452089,0.9874371886253356,0.9899497487437184,0.6809045076370239
80,MTL0.8,MTL,0,"[0, 1, 0, 0]",False,512,0.8,0.62,wv_3d_linear_unfiltered,0.6733668446540833,0.9874371886253356,0.8689279731993299,0.9639865996649916,0.9591666460037231,0.9874371886253356,0.9899497487437184,0.6683416962623596
81,MTL0.5,MTL,0,"[1, 0, 0, 0]",False,512,0.5,0.67,wv_3d_linear_unfiltered,0.6809045076370239,0.984924614429474,0.8350083752093802,0.9585427135678392,0.9773333072662354,0.984924614429474,0.9874371859296482,0.6859296560287476
82,MTL0.2,MTL,0,"[1, 0, 0, 0]",False,512,0.2,0.67,wv_3d_linear_unfiltered,0.6859296560287476,0.9773869514465332,0.838358458961474,0.9660804020100504,0.978333294391632,0.9773869514465332,0.9899497487437184,0.6783919334411621
83,TN,TN,0,"[1, 0, 0, 0]",False,512,0.0,0.67,wv_3d_linear_unfiltered,0.590452253818512,0.8643215894699097,0.8668341708542714,0.9819932998324958,0.9804999828338624,0.5025125741958618,0.864321608040201,0.590452253818512
