,name,model,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
110,MTL0.8,MTL,2,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.3,wv_3d_linear_noisy,0.9447236061096193,0.9874371886253356,0.620603015075377,0.6277219430485762,0.7529186606407166,0.984924614429474,0.984924623115578,0.9447236061096193,0.97,0.3
111,TN,TN,1,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.3,wv_3d_linear_noisy,0.8417085409164429,0.9648241400718688,0.661641541038526,0.9254606365159128,0.6598333120346069,0.5025125741958618,0.964824120603015,0.8417085409164429,0.97,0.3
112,MTL0.8,MTL,0,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.5,wv_3d_linear_noisy,0.9145728349685668,0.9874371886253356,0.576214405360134,0.5376884422110554,0.5096666812896729,0.9924623370170592,0.9949748743718592,0.9145728349685668,0.97,0.5
113,TN,TN,2,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.3,wv_3d_linear_noisy,0.9246231317520142,0.9874371886253356,0.6222780569514238,0.8031825795644892,0.7584376931190491,0.4974874258041382,0.992462311557789,0.9246231317520142,0.97,0.3
114,MTL0.5,MTL,2,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.3,wv_3d_linear_noisy,0.9547738432884216,0.9698492288589478,0.6474036850921273,0.7093802345058626,0.7374230027198792,0.9698492288589478,0.9773869346733668,0.9522613286972046,0.97,0.3
115,MTL0.5,MTL,0,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.5,wv_3d_linear_noisy,0.8919597864151001,0.9447236061096193,0.5113065326633165,0.571608040201005,0.5041666626930237,0.9522613286972046,0.9899497487437184,0.8793969750404358,0.97,0.5
116,TN,TN,1,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.4,wv_3d_linear_noisy,0.9020100235939026,0.9874371886253356,0.5690954773869347,0.5900335008375209,0.7015385031700134,0.5025125741958618,0.9899497487437184,0.9020100235939026,0.97,0.4
117,MTL0.2,MTL,0,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.5,wv_3d_linear_noisy,0.8643215894699097,0.9447236061096193,0.5351758793969849,0.7374371859296481,0.5044999718666077,0.9522613286972046,0.9824120603015076,0.8592965006828308,0.97,0.5
118,TN,TN,0,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.5,wv_3d_linear_noisy,0.9221105575561525,0.979899525642395,0.5531825795644891,0.6440536013400335,0.6605157852172852,0.5025125741958618,0.992462311557789,0.9221105575561525,0.97,0.5
119,MTL0.8,MTL,0,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.5,wv_3d_linear_noisy,0.947236180305481,0.9698492288589478,0.5339195979899497,0.4899497487437186,0.6647399067878723,0.979899525642395,0.9798994974874372,0.947236180305481,0.97,0.5
120,MTL0.2,MTL,1,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.3,wv_3d_linear_noisy,0.8517587780952454,0.9195979833602904,0.629396984924623,0.9120603015075376,0.6336666345596313,0.9195979833602904,0.984924623115578,0.8366833925247192,0.97,0.3
121,MTL0.8,MTL,2,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.2,wv_3d_linear_noisy,0.8819095492362976,0.9899497628211976,0.6750418760469011,0.9028475711892796,0.6871666312217712,0.9899497628211976,0.9874371859296482,0.8819095492362976,0.97,0.2
122,MTL0.5,MTL,0,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.5,wv_3d_linear_noisy,0.9195979833602904,0.9748743772506714,0.5062814070351759,0.5896147403685091,0.6718541383743286,0.9874371886253356,0.9874371859296482,0.9195979833602904,0.97,0.5
123,MTL0.2,MTL,0,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.5,wv_3d_linear_noisy,0.947236180305481,0.982412040233612,0.5201005025125628,0.47403685092127307,0.6671854257583618,0.9899497628211976,0.9899497487437184,0.947236180305481,0.97,0.5
124,TN,TN,0,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.4,wv_3d_linear_noisy,0.8316583037376404,0.909547746181488,0.6302345058626465,0.920435510887772,0.5636666417121887,0.5025125741958618,0.9095477386934674,0.8316583037376404,0.97,0.4
125,MTL0.8,MTL,0,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.4,wv_3d_linear_noisy,0.8743718862533569,0.979899525642395,0.5724455611390286,0.7466499162479062,0.5303333401679993,0.9874371886253356,0.9874371859296482,0.8743718862533569,0.97,0.4
126,MTL0.5,MTL,0,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.4,wv_3d_linear_noisy,0.8894472122192383,0.982412040233612,0.577889447236181,0.8073701842546064,0.5516666769981384,0.982412040233612,0.9874371859296482,0.8894472122192383,0.97,0.4
127,MTL0.2,MTL,0,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.4,wv_3d_linear_noisy,0.8165829181671143,0.8869346976280212,0.6168341708542714,0.9225293132328308,0.5709999799728394,0.8869346976280212,0.9723618090452262,0.7814070582389832,0.97,0.4
128,TN,TN,0,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.4,wv_3d_linear_noisy,0.9321607947349548,0.967336654663086,0.5871021775544388,0.7546063651591289,0.7070329785346985,0.5025125741958618,0.9874371859296482,0.9321607947349548,0.97,0.4
129,MTL0.8,MTL,0,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.4,wv_3d_linear_noisy,0.9371859431266784,0.9874371886253356,0.5347571189279732,0.5770519262981574,0.7041758298873901,0.9924623370170592,0.992462311557789,0.9371859431266784,0.97,0.4
130,MTL0.5,MTL,0,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.4,wv_3d_linear_noisy,0.9346733689308168,0.979899525642395,0.5657453936348409,0.6005025125628141,0.7057142853736877,0.979899525642395,0.984924623115578,0.9346733689308168,0.97,0.4
131,MTL0.2,MTL,0,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.4,wv_3d_linear_noisy,0.9447236061096193,0.9924623370170592,0.6025963149078727,0.6486599664991625,0.7103297114372253,0.9924623370170592,0.9949748743718592,0.9447236061096193,0.97,0.4
132,TN,TN,1,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.3,wv_3d_linear_noisy,0.9497487545013428,0.9874371886253356,0.6628978224455612,0.61892797319933,0.7658671140670776,0.5025125741958618,0.9874371859296482,0.9497487545013428,0.97,0.3
133,MTL0.8,MTL,1,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.3,wv_3d_linear_noisy,0.9522613286972046,0.982412040233612,0.6193467336683418,0.48827470686767166,0.7512205243110657,0.984924614429474,0.9824120603015076,0.9522613286972046,0.97,0.3
134,MTL0.5,MTL,2,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.1,wv_3d_linear_noisy,0.9195979833602904,0.979899525642395,0.7437185929648242,0.9317420435510888,0.8176666498184204,0.979899525642395,0.9899497487437184,0.9195979833602904,0.97,0.1
135,TN,TN,0,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.3,wv_3d_linear_noisy,0.8743718862533569,0.9522613286972046,0.6880234505862646,0.9187604690117251,0.6678333282470703,0.5025125741958618,0.9522613065326632,0.8743718862533569,0.97,0.3
136,MTL0.8,MTL,0,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.3,wv_3d_linear_noisy,0.8894472122192383,0.9924623370170592,0.6247906197654941,0.8697654941373534,0.6116666793823242,0.9924623370170592,0.992462311557789,0.8894472122192383,0.97,0.3
137,MTL0.5,MTL,0,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.3,wv_3d_linear_noisy,0.8643215894699097,0.9924623370170592,0.6712730318257957,0.908291457286432,0.628166675567627,0.9924623370170592,0.9874371859296482,0.8668341636657715,0.97,0.3
138,MTL0.5,MTL,1,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.3,wv_3d_linear_noisy,0.9422110319137572,0.9899497628211976,0.6620603015075377,0.7550251256281407,0.7533432245254517,0.9899497628211976,0.9874371859296482,0.9447236061096193,0.97,0.3
139,MTL0.2,MTL,2,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.1,wv_3d_linear_noisy,0.8969849348068237,0.9572864174842834,0.7814070351758794,0.9367671691792296,0.843999981880188,0.9572864174842834,0.9874371859296482,0.8919597864151001,0.97,0.1
140,MTL0.8,MTL,2,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.2,wv_3d_linear_noisy,0.9497487545013428,0.984924614429474,0.6825795644891123,0.7261306532663316,0.8147915601730347,0.984924614429474,0.9824120603015076,0.9522613286972046,0.97,0.2
141,MTL0.8,MTL,2,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.1,wv_3d_linear_noisy,0.909547746181488,0.982412040233612,0.7123115577889448,0.9271356783919598,0.8019999861717224,0.982412040233612,0.9899497487437184,0.909547746181488,0.97,0.1
142,MTL0.5,MTL,2,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.2,wv_3d_linear_noisy,0.9648241400718688,0.9874371886253356,0.6846733668341708,0.763819095477387,0.8129059672355652,0.984924614429474,0.984924623115578,0.9648241400718688,0.97,0.2
