wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_noisy,align=0.925_p=0.7,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.9975,0.6586191,0.9975,0.4365,0.4365,0.7825,0.7825,0.8525,0.935,0.935,0.935,0.9575,0.9575,0.965
wv_3d_noisy,align=0.8_p=0.3,TN,0,"[1, 0, 1, 1]",512,0.0,0.46,0.7542021,0.9975,0.63375,0.63375,0.8625,0.865,1.0,0.855,0.855,1.0,0.8675,0.87,1.0
wv_3d_noisy,align=0.8_p=0.3,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.9975,0.7465619,0.9975,0.6677500000000001,0.6677500000000001,0.98,0.98,1.0,0.955,0.9525,1.0,0.955,0.9525,1.0
wv_3d_noisy,align=0.8_p=0.5,TN,0,"[1, 0, 1, 1]",512,0.0,0.46,0.65482575,0.9975,0.57025,0.57025,0.9125,0.915,0.9225,0.9475,0.95,0.9525,0.935,0.9375,0.9675
wv_3d_noisy,align=0.8_p=0.5,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.995,0.6646559,0.995,0.4622499999999999,0.4622499999999999,0.8925,0.89,0.8875,0.9325,0.9325,0.97,0.935,0.935,0.975
wv_3d_noisy,align=0.8_p=0.6,TN,0,"[1, 0, 1, 1]",512,0.0,0.46,0.66215014,1.0,0.4215,0.4215,0.83,0.83,0.7725,0.9025,0.9025,0.8975,0.93,0.93,0.9
wv_3d_noisy,align=0.8_p=0.7,TN,0,"[1, 0, 1, 1]",512,0.0,0.46,0.6686151,0.9975,0.3369999999999999,0.3369999999999999,0.775,0.775,0.725,0.9075,0.9075,0.86,0.9475,0.9475,0.875
wv_3d_noisy,align=0.8_p=0.6,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.995,0.6588183,0.995,0.37,0.37,0.7,0.6975,0.66,0.7975,0.8,0.83,0.855,0.855,0.9075
wv_3d_noisy,align=0.8_p=0.7,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.9975,0.6584982,0.9975,0.38725,0.38725,0.8625,0.8625,0.76,0.9,0.9,0.905,0.9275,0.9275,0.91
wv_3d_noisy,align=0.8_p=0.3,TN,1,"[1, 0, 1, 1]",512,0.0,0.46,0.7581314,0.995,0.6692499999999999,0.6692499999999999,0.9125,0.9125,1.0,0.925,0.9225,1.0,0.9075,0.905,1.0
wv_3d_noisy,align=0.8_p=0.3,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,1.0,0.75725824,1.0,0.6874999999999999,0.6874999999999999,0.9325,0.9325,1.0,0.92,0.92,1.0,0.8775,0.8775,1.0
wv_3d_noisy,align=0.8_p=0.5,TN,1,"[1, 0, 1, 1]",512,0.0,0.46,0.6639857,0.9975,0.5137499999999999,0.5137499999999999,0.8925,0.8925,0.9525,0.9175,0.9175,0.9675,0.9275,0.93,0.98
wv_3d_noisy,align=0.8_p=0.5,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,0.9975,0.6608579,0.9975,0.51875,0.51875,0.8925,0.8925,0.89,0.9175,0.9175,0.9475,0.945,0.945,0.9575
wv_3d_noisy,align=0.8_p=0.6,TN,1,"[1, 0, 1, 1]",512,0.0,0.46,0.6641493,0.9975,0.4345,0.4345,0.7175,0.7175,0.7275,0.82,0.8225,0.92,0.835,0.8375,0.96
wv_3d_noisy,align=0.8_p=0.6,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,1.0,0.6659263,1.0,0.382,0.382,0.7525,0.7525,0.71,0.895,0.895,0.8475,0.9375,0.9375,0.895
wv_3d_noisy,align=0.8_p=0.7,TN,1,"[1, 0, 1, 1]",512,0.0,0.46,0.6575989,0.9975,0.37625,0.37625,0.7775,0.7775,0.7725,0.8875,0.8875,0.9225,0.92,0.9175,0.9625
wv_3d_noisy,align=0.8_p=0.7,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,1.0,0.6638939,1.0,0.40075,0.40075,0.7675,0.7675,0.8275,0.8575,0.8575,0.925,0.88,0.88,0.925
wv_3d_noisy,align=0.8_p=0.3,TN,2,"[1, 0, 1, 1]",512,0.0,0.54,0.76140577,0.995,0.702,0.702,0.865,0.865,1.0,0.8725,0.875,1.0,0.88,0.88,1.0
wv_3d_noisy,align=0.8_p=0.3,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.9975,0.7520192,0.995,0.6475,0.6475,0.9625,0.9625,1.0,0.9275,0.925,1.0,0.9,0.8975,1.0
wv_3d_noisy,align=0.8_p=0.5,TN,2,"[1, 0, 1, 1]",512,0.0,0.54,0.66018766,0.9975,0.47125,0.47125,0.7625,0.7625,0.78,0.8725,0.8725,0.9475,0.865,0.865,0.965
wv_3d_noisy,align=0.8_p=0.5,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.9975,0.6577301,0.9975,0.48200000000000004,0.48200000000000004,0.795,0.795,0.8325,0.875,0.875,0.885,0.8625,0.8625,0.8925
wv_3d_noisy,align=0.8_p=0.6,TN,2,"[1, 0, 1, 1]",512,0.0,0.9975,0.3904999999999999,0.3904999999999999,0.765,0.765,0.6975,0.9125,0.9125,0.875,0.955,0.955,0.9175,0.54,0.67081296
wv_3d_noisy,align=0.8_p=0.7,TN,2,"[1, 0, 1, 1]",512,0.0,0.9975,0.4234999999999999,0.4234999999999999,0.7875,0.7875,0.7325,0.915,0.915,0.8525,0.9475,0.9475,0.895,0.54,0.65535074
wv_3d_noisy,align=0.8_p=0.6,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.9975,0.4589999999999999,0.4589999999999999,0.88,0.88,0.7925,0.925,0.925,0.8675,0.9675,0.9675,0.8875,0.9975,0.6748112
wv_3d_noisy,align=0.8_p=0.7,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,1.0,0.3605,0.3605,0.7575,0.7575,0.78,0.915,0.915,0.8525,0.95,0.95,0.895,1.0,0.667491
