wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_1nn_acc,NI_h2h,NO_h2h,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.2,2,"[0, 1, 0, 0]",512,0.2,0.992462311557789,0.6804857621440537,0.8157453936348409,0.7889447236180904,0.7839195979899497,0.9623115577889448
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.8,1,"[0, 1, 0, 0]",512,0.8,0.9899497487437184,0.707286432160804,0.8643216080402011,0.8140703517587939,0.8140703517587939,0.9874371859296482
wv_3d_linear_num,align=0.62_p=0.03125,TN,1,"[0, 1, 0, 0]",512,0.0,0.9623115577889448,0.6633165829145728,0.9530988274706867,0.6507537688442211,0.4924623115577889,0.5703517587939698
wv_3d_linear_num,align=0.62_p=0.0625,MTL0.2,1,"[0, 1, 0, 0]",512,0.2,0.9798994974874372,0.7755443886097152,0.946817420435511,0.7035175879396985,0.6984924623115578,0.9673366834170856
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.5,1,"[0, 1, 0, 0]",512,0.5,0.9874371859296482,0.7315745393634842,0.920854271356784,0.7110552763819096,0.6984924623115578,0.964824120603015
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.8,1,"[0, 1, 0, 0]",512,0.8,0.9874371859296482,0.699748743718593,0.9179229480737018,0.6758793969849246,0.6683417085427136,0.9597989949748744
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.2,1,"[0, 1, 0, 0]",512,0.2,0.9773869346733668,0.7252931323283082,0.9409547738693468,0.6708542713567839,0.6733668341708543,0.949748743718593
wv_3d_linear_num,align=0.62_p=0.03125,TN,1,"[0, 1, 0, 0]",512,0.0,0.957286432160804,0.7085427135678392,0.9556113902847572,0.6407035175879398,0.5603015075376885,0.6005025125628141
wv_3d_linear_num,align=0.62_p=0.0625,MTL0.5,1,"[0, 1, 0, 0]",512,0.5,0.9874371859296482,0.7466499162479062,0.9225293132328308,0.7185929648241206,0.7110552763819096,0.9522613065326632
wv_3d_linear_num,align=0.62_p=0.0625,MTL0.8,0,"[0, 1, 0, 0]",512,0.8,0.992462311557789,0.7399497487437184,0.8869346733668343,0.8391959798994975,0.8391959798994975,0.9874371859296482
wv_3d_linear_num,align=0.62_p=0.0625,TN,0,"[0, 1, 0, 0]",512,0.0,0.9698492462311558,0.6980737018425461,0.9447236180904524,0.6608040201005025,0.5201005025125628,0.6432160804020101
